Close,Volume,LogRet,mavol,rsi,stoch,macd,atr
-0.425116293,0.157447696,-0.081516941,-0.335859107,0.127046562,-0.656077887,-0.24317221,-0.28318108
-0.420813742,-0.194784584,0.5713892,-0.334845309,0.392385974,-0.389160709,-0.216023523,-0.268782515
-0.419277136,-0.390113125,0.165482047,-0.335970562,0.478001751,-0.322071656,-0.190110765,-0.258972454
-0.417574974,-0.617531408,0.188368739,-0.423611931,0.57062447,-0.290303674,-0.164819606,-0.255801831
-0.424430691,0.618049462,-1.05330728,-0.393367848,-0.098997688,-0.733489598,-0.173491182,-0.259887946
-0.426936631,-0.511500566,-0.426088561,-0.427019345,-0.300786819,-1.071325648,-0.191804456,-0.27541824
-0.428756816,-0.31669748,-0.326780863,-0.436990142,-0.440917901,-1.289132931,-0.214803704,-0.277344972
-0.42563634,0.832101953,0.404155757,-0.419740418,-0.211950559,-1.237686984,-0.222052281,-0.272138033
-0.408875346,3.390415169,2.353380926,-0.210593526,0.607171573,-0.42643703,-0.163979956,-0.172956268
-0.412586936,0.219962006,-0.58147354,-0.153441442,0.336974544,-0.604159612,-0.134784907,-0.185727007
-0.410648459,-0.263855977,0.217296322,-0.157942902,0.413604685,-0.511339264,-0.106636214,-0.178603501
-0.404927555,-0.166876278,0.744560324,-0.16801178,0.621912092,-0.237404428,-0.064959817,-0.163469746
-0.401925218,0.894068606,0.358697471,-0.092203404,0.720546682,-0.151204412,-0.023702358,-0.142214742
-0.399608521,0.148485363,0.261473902,-0.06972999,0.79412939,-0.056153693,0.014097783,-0.142458097
-0.41173597,1.234385646,-1.747278631,0.02399283,-0.022946534,-0.553725443,-0.007256069,-0.16763975
-0.406609784,0.157780731,0.663892412,0.030112176,0.177945431,-0.343405401,-0.007802575,-0.15234522
-0.400984977,-0.148196733,0.722738221,0.016395586,0.374794099,-0.112627704,0.009892851,-0.142703372
-0.39683169,0.395227058,0.511314719,0.058005888,0.507114056,0.044030806,0.035972171,-0.136585748
-0.398374391,0.262464632,-0.267626264,0.075295291,0.409666238,-0.08684452,0.046233785,-0.146197008
-0.405707875,0.282372706,-1.069320585,0.120197538,-0.017552753,-0.390865544,0.021528972,-0.168621569
-0.406562214,0.244443756,-0.176382809,0.149198671,-0.064011202,-0.45464331,-0.005163485,-0.169986729
-0.407250499,0.166025189,-0.153413161,0.189878989,-0.103215187,-1.65637748,-0.032465067,-0.185710779
-0.401151184,-0.186540126,0.789442476,0.169157207,0.157598555,-1.194945922,-0.033610393,-0.173172906
-0.400676445,-0.349764124,0.008140436,0.159821259,0.176918578,-1.159030476,-0.036062017,-0.183819594
-0.402361548,-0.318695688,-0.289427743,0.164123436,0.066492428,-1.286513635,-0.047885043,-0.192783444
-0.400961288,0.100276743,0.135873998,0.207364107,0.131171298,-1.180579744,-0.054950537,-0.195520048
-0.397140223,0.136237087,0.466035025,0.178339791,0.301315863,-0.891504627,-0.0488202,-0.188013873
-0.393722791,0.399031054,0.406364656,0.233190099,0.441788236,-0.623106156,-0.033986405,-0.185609453
-0.392678556,0.232713534,0.08364123,0.266286548,0.483805165,-0.629869418,-0.021705985,-0.190097506
-0.391135893,0.1968568,0.150166718,0.228019462,0.546883802,-0.523158334,-0.009633111,-0.191825156
-0.39101718,-0.557577765,-0.041261991,-0.009807125,0.551915941,-0.514787487,-0.003382512,-0.1956389
-0.395692584,0.395449081,-0.687968419,0.000764194,0.151818006,-0.798329517,-0.02035638,-0.207573023
-0.396096065,-0.183054363,-0.111978955,0.005631673,0.118987441,-0.822798768,-0.03876607,-0.211811347
-0.397638689,-0.16256903,-0.267212125,0.005891141,-0.009573518,-0.916351923,-0.062508502,-0.22245637
-0.403880369,0.332024476,-0.915718422,-0.027966325,-0.468896428,-1.294881417,-0.10838141,-0.237758993
-0.397069079,0.551775561,0.879000408,-0.003672176,-0.061431496,-1.673921262,-0.120450732,-0.213438552
-0.398587976,3.521941666,-0.264501248,0.134129905,-0.166495944,-2.028071893,-0.138202746,-0.199977973
-0.401459717,1.538046668,-0.451417087,0.217276948,-0.359730895,-2.004379481,-0.165451046,-0.226130997
-0.40471121,-0.026972109,-0.507172575,0.224579503,-0.563920318,-2.280106622,-0.20130162,-0.243777554
-0.400913872,1.849411893,0.467966958,0.312179411,-0.321713967,-1.958091777,-0.216147892,-0.227556709
-0.403785498,0.30670644,-0.4538269,0.314844532,-0.503338754,-2.201606057,-0.240230905,-0.235052734
-0.40364321,-0.245302245,-0.037459792,0.28305746,-0.493730997,-2.189540048,-0.259588252,-0.237310503
-0.40995611,2.133364663,-0.939556046,0.396845813,-0.866240516,-1.356287382,-0.300055822,-0.257241399
-0.41631658,0.99070787,-0.961546856,0.446524592,-1.167716132,-1.458418511,-0.356786047,-0.27514539
-0.41987653,1.666672063,-0.570277269,0.558161856,-1.313760167,-1.268390837,-0.414750734,-0.303132412
-0.423056726,1.49955526,-0.519847167,0.669564618,-1.435259377,-1.196878031,-0.471549339,-0.317997141
-0.416909803,0.927675506,0.833419994,0.744645858,-0.981467733,-0.949279623,-0.490616433,-0.293596818
-0.414322982,0.102060328,0.313115565,0.744753301,-0.810168805,-0.845082352,-0.493710617,-0.289687447
-0.41657762,-0.156870436,-0.379785433,0.727096542,-0.919081401,-0.935899263,-0.50303036,-0.302788526
-0.414584022,0.16094086,0.22816821,0.712754019,-0.781971019,-0.855597035,-0.500646783,-0.306444296
-0.4153198,-0.401591721,-0.162318133,0.674543552,-0.821252271,-0.983844334,-0.499705643,-0.315230321
-0.413729721,-0.584279745,0.169753563,0.627487987,-0.704816038,-0.903580338,-0.49088565,-0.312768943
-0.416102957,-0.29317043,-0.396258863,0.643415851,-0.842656269,-1.02337651,-0.491363042,-0.331690903
-0.411570032,-0.210281798,0.588552281,0.6069267,-0.515001203,-0.80694863,-0.472337129,-0.32052046
-0.411783501,-0.497150472,-0.087415587,0.588005591,-0.528813136,-0.840354722,-0.456654221,-0.330119886
-0.410502031,-0.581867094,0.124033107,0.56274713,-0.435758977,-0.813588468,-0.437971813,-0.323950518
